iter	Passed	Remaining
405	6757	1564
406	6774	1548
407	6787	1530
408	6804	1514
409	6822	1497
410	6839	1481
411	6859	1465
412	6875	1448
413	6890	1431
414	6906	1414
415	6921	1397
416	6935	1380
417	6953	1364
418	6971	1347
419	6988	1331
420	7004	1314
421	7020	1297
422	7037	1280
423	7052	1264
424	7066	1247
425	7081	1230
426	7097	1213
427	7113	1196
428	7129	1179
429	7146	1163
430	7164	1146
431	7179	1130
432	7199	1114
433	7216	1097
434	7232	1080
435	7247	1063
436	7261	1046
437	7278	1030
438	7294	1013
439	7313	997
440	7327	980
441	7343	963
442	7360	947
443	7377	930
444	7394	913
445	7413	897
446	7428	880
447	7443	863
448	7459	847
449	7473	830
450	7489	813
451	7506	797
452	7522	780
453	7537	763
454	7551	746
455	7566	730
456	7582	713
457	7598	696
458	7619	680
459	7637	664
460	7654	647
461	7669	630
462	7685	614
463	7701	597
464	7716	580
465	7731	564
466	7750	547
467	7765	530
468	7778	514
469	7797	497
470	7818	481
471	7835	464
472	7853	448
473	7872	431
474	7888	415
475	7908	398
476	7926	382
477	7941	365
478	7958	348
479	7977	332
480	7992	315
481	8007	299
482	8025	282
483	8044	265
484	8059	249
485	8074	232
486	8090	215
487	8105	199
488	8122	182
489	8137	166
490	8153	149
491	8170	132
492	8185	116
493	8203	99
494	8224	83
495	8241	66
496	8258	49
497	8272	33
498	8289	16
499	8306	0
